"","scale","xcount","ycount"
"1",0,0,0
"2",1,1,1
"3",2,1,3
"4",3,3,13
"5",4,9,42
"6",5,18,59
"7",6,59,95
"8",7,67,131
"9",8,91,158
"10",9,144,161
"11",10,149,194
"12",11,192,164
"13",12,192,166
"14",13,192,197
"15",14,201,177
"16",15,204,158
"17",16,217,169
"18",17,181,132
"19",18,184,158
"20",19,170,151
"21",20,201,134
"22",21,147,137
"23",22,163,122
"24",23,147,110
"25",24,140,116
"26",25,147,132
"27",26,126,104
"28",27,113,104
"29",28,100,114
"30",29,106,97
"31",30,107,107
"32",31,91,88
"33",32,83,80
"34",33,73,79
"35",34,72,70
"36",35,75,61
"37",36,50,48
"38",37,37,47
"39",38,38,29
"40",39,23,32
"41",40,15,12
