"","x1","y2"
"1",55,53
"2",48,58
"3",56,55
"4",67,60
"5",42,52
"6",53,51
"7",48,45
"8",43,51
"9",63,66
"10",45,45
"11",47,39
"12",46,49
"13",71,65
"14",63,60
"15",47,48
"16",21,28
"17",49,41
"18",50,52
"19",71,67
"20",69,67
"21",53,46
"22",50,48
"23",34,39
"24",33,32
"25",69,55
"26",54,52
"27",55,45
"28",43,54
"29",69,66
"30",61,53
"31",52,57
"32",61,66
"33",48,44
"34",70,71
"35",46,48
"36",55,42
"37",49,30
"38",35,41
"39",66,66
"40",52,54
"41",29,36
"42",74,67
"43",62,58
"44",66,56
"45",49,51
"46",47,47
"47",66,60
"48",25,29
"49",62,64
"50",62,64
"51",59,54
"52",40,34
"53",72,65
"54",51,61
"55",61,48
"56",59,59
"57",63,55
"58",59,58
"59",65,61
"60",53,61
"61",67,57
"62",56,53
"63",51,49
"64",39,43
"65",60,56
"66",46,50
"67",56,51
"68",40,46
"69",31,34
"70",41,38
"71",16,29
"72",51,52
"73",49,44
"74",50,47
"75",64,58
"76",49,36
"77",43,56
"78",61,64
"79",57,55
"80",39,46
"81",42,46
"82",42,37
"83",70,60
"84",69,61
"85",69,68
"86",50,50
"87",54,54
"88",47,58
"89",46,44
"90",60,64
"91",29,27
"92",42,36
"93",34,37
"94",31,40
"95",40,37
"96",61,57
"97",40,40
"98",69,59
"99",56,50
"100",46,42
"101",52,47
"102",68,66
"103",19,27
"104",32,30
"105",60,60
"106",62,54
"107",50,50
"108",57,59
"109",67,62
"110",55,56
"111",41,30
"112",68,66
"113",58,55
"114",60,59
"115",41,44
"116",63,62
"117",53,55
"118",70,59
"119",71,71
"120",57,66
"121",60,58
"122",47,47
"123",50,57
"124",36,36
"125",62,47
"126",58,59
"127",41,44
"128",45,47
"129",55,50
"130",68,66
"131",65,65
"132",71,71
"133",49,43
"134",68,65
"135",31,34
"136",37,34
"137",58,56
"138",64,57
"139",55,51
"140",67,70
"141",47,46
"142",35,32
"143",60,60
